Replicate_ID	Exp_date	Moth_ID	Moth_sex	Treatment_time	Treatment	Marking	Exp_time	Weather	Room_temperature	Mating_success	Moth_weight
1	17/04/2025	105	F	null	null	null	16:17:00	sunny	22	null	187.9
1	17/04/2025	130	M	14:30:00	Rutin	I	16:17:00	sunny	22	1	127.6
1	17/04/2025	129	M	14:30:00	Control	o	16:17:00	sunny	22	0	195.5
6	13/06/2025	216	F	null	null	null	18:03:00	rainy	24	null	258.9
6	13/06/2025	184	M	14:20:00	Rutin	I	18:03:00	rainy	24	0	221.7
6	13/06/2025	186	M	14:20:00	Control	o	18:03:00	rainy	24	1	169.2
9	23/06/2025	222	F	null	null	null	17:19:00	cloudy	25	null	186.8
9	23/06/2025	231	M	13:02:00	Rutin	o	17:19:00	cloudy	25	0	118.7
9	23/06/2025	229	M	13:02:00	Control	I	17:19:00	cloudy	25	1	103.3
11	24/06/2025	232	F	null	null	null	17:36:00	sunny	25	null	150
11	24/06/2025	236	M	15:30:00	Control	I	17:36:00	sunny	25	1	73.8
11	24/06/2025	237	M	15:30:00	Rutin	o	17:36:00	sunny	25	0	126.7
12	07/07/2025	233	F	null	null	null	17:13:00	cloudy	24	null	236.7
12	07/07/2025	238	M	14:12:00	Rutin	I	17:13:00	cloudy	24	0	101.3
12	07/07/2025	239	M	14:12:00	Control	o	17:13:00	cloudy	24	1	119.1
14	09/07/2025	235	F	null	null	null	16:23:00	cloudy	24	null	133.1
14	09/07/2025	242	M	11:45:00	Rutin	I	16:23:00	cloudy	24	1	127.9
14	09/07/2025	243	M	11:45:00	Control	o	16:23:00	cloudy	24	0	136.4
16	18/07/2025	250	F	null	null	null	17:15:00	cloudy	25	null	128.3
16	18/07/2025	254	M	14:34:00	Control	I	17:15:00	cloudy	25	1	137.8
16	18/07/2025	255	M	14:45:00	Rutin	o	17:15:00	cloudy	25	0	93.7
17	18/07/2025	251	F	null	null	null	17:33:00	cloudy	25	null	196.7
17	18/07/2025	256	M	14:33:00	Rutin	I	17:33:00	cloudy	25	0	134.8
17	18/07/2025	257	M	14:41:00	Control	o	17:33:00	cloudy	25	1	122.6
18	18/07/2025	252	F	null	null	null	17:23:00	cloudy	25	null	175.2
18	18/07/2025	258	M	14:46:00	Control	I	17:23:00	cloudy	25	1	117.2
18	18/07/2025	259	M	14:28:00	Rutin	o	17:23:00	cloudy	25	0	95.5
21	19/07/2025	264	F	null	null	null	18:38:00	cloudy	24	null	147.6
21	19/07/2025	270	M	17:54:00	Rutin	I	18:38:00	cloudy	24	0	143.4
21	19/07/2025	271	M	17:54:00	Control	o	18:38:00	cloudy	24	1	114.7
23	20/07/2025	276	F	null	null	null	17:22:00	cloudy	25	null	160.2
23	20/07/2025	274	M	16:45:00	Rutin	o	17:22:00	cloudy	25	0	118.5
23	20/07/2025	275	M	16:45:00	Control	I	17:22:00	cloudy	25	1	135.1
24	20/07/2025	279	F	null	null	null	17:23:00	cloudy	25	null	214.5
24	20/07/2025	277	M	16:45:00	Rutin	I	17:23:00	cloudy	25	0	111.5
24	20/07/2025	278	M	16:45:00	Control	o	17:23:00	cloudy	25	1	94.2
25	23/07/2025	280	F	null	null	null	17:38:00	cloudy	25	null	197.3
25	23/07/2025	283	M	12:10:00	Control	I	17:38:00	cloudy	25	0	113.7
25	23/07/2025	285	M	12:15:00	Rutin	o	17:38:00	cloudy	25	1	122.4
26	23/07/2025	281	F	null	null	null	17:44:00	cloudy	25	null	171.4
26	23/07/2025	284	M	12:12:00	Control	o	17:44:00	cloudy	25	1	133.5
26	23/07/2025	286	M	12:14:00	Rutin	I	17:44:00	cloudy	25	0	147.7
27	23/07/2025	282	F	null	null	null	17:48:00	cloudy	25	null	244.8
27	23/07/2025	287	M	12:08:00	Control	I	17:48:00	cloudy	25	1	167.9
27	23/07/2025	288	M	12:13:00	Rutin	o	17:48:00	cloudy	25	0	156.8
28	24/07/2025	289	F	null	null	null	17:29:00	cloudy	24	null	238.3
28	24/07/2025	290	M	11:20:00	Rutin	I	17:29:00	cloudy	24	0	144.9
28	24/07/2025	291	M	11:20:00	Control	o	17:29:00	cloudy	24	1	223.5
36	17/10/2025	297	F	null	null	null	18:10:00	cloudy	25	null	207.3
36	17/10/2025	295	M	17:00:00	Rutin	o	18:10:00	cloudy	25	0	95.2
36	17/10/2025	296	M	17:00:00	Control	I	18:10:00	cloudy	25	1	125.7
38	17/10/2025	303	F	null	null	null	18:24:00	cloudy	25	null	183.7
38	17/10/2025	301	M	17:20:00	Rutin	o	18:24:00	cloudy	25	0	117.2
38	17/10/2025	302	M	17:20:00	Control	I	18:24:00	cloudy	25	1	114
39	18/10/2025	306	F	null	null	null	16:30:00	cloudy	25	null	143
39	18/10/2025	304	M	14:50:00	Rutin	o	16:30:00	cloudy	25	1	84.1
39	18/10/2025	305	M	14:50:00	Control	I	16:30:00	cloudy	25	0	87.5
40	18/10/2025	309	F	null	null	null	16:33:00	cloudy	25	null	156.8
40	18/10/2025	307	M	14:55:00	Rutin	I	16:33:00	cloudy	25	0	82.2
40	18/10/2025	308	M	14:55:00	Control	o	16:33:00	cloudy	25	1	67.7
